,event,time,Factory,Provider,T0,Cs,As,Sp
0,True,32.39,1.0,0.0,20.744,4.677,0.195,0.928
1,True,34.93,2.0,0.0,25.697,-3.83,0.411,0.424
2,True,25.58,1.0,0.0,15.194,1.348,-0.305,0.764
3,True,55.83,1.0,0.0,22.333,1.083,-0.25,1.252
4,True,66.75,0.0,1.0,18.755,-2.656,1.855,0.683
5,True,66.98,2.0,0.0,27.291,-5.043,1.167,0.34
6,True,59.19,2.0,0.0,24.595,-6.012,0.272,1.305
7,False,45.839999999999996,2.0,1.0,31.401,-3.191,-1.716,1.285
8,False,34.59,0.0,1.0,21.032,-5.264,-1.919,1.153
9,True,116.24000000000001,2.0,1.0,26.213,-3.682,1.113,1.217
10,True,4.04,1.0,1.0,16.852,5.743,1.914,1.094
11,True,32.09,1.0,0.0,14.481,1.07,-0.154,1.059
12,True,88.85,2.0,1.0,24.511,-0.318,-1.527,0.748
13,False,14.0,2.0,1.0,26.772,-0.713,-1.427,1.334
14,True,49.22,1.0,0.0,19.518,3.921,0.087,0.584
15,True,29.61,1.0,1.0,26.185,4.397,-0.942,1.047
16,True,3.58,1.0,0.0,20.368,-0.642,-0.175,0.523
17,False,53.16,0.0,1.0,18.52,-6.293,-1.925,0.686
18,True,58.11,0.0,0.0,15.532,0.125,0.448,0.684
19,False,51.62,2.0,1.0,27.365,-3.286,1.775,0.853
20,False,61.52,2.0,0.0,26.199,-4.547,-0.562,0.502
21,True,37.19,2.0,1.0,27.451,-3.736,0.791,1.326
22,True,50.599999999999994,1.0,0.0,17.102,-0.621,0.667,0.826
23,True,35.12,2.0,1.0,28.819,-3.184,-1.158,1.218
24,True,51.349999999999994,0.0,0.0,14.866,1.357,-0.738,0.738
25,True,31.47,1.0,0.0,13.58,5.838,0.281,0.496
26,True,65.52,0.0,1.0,13.084,-6.656,1.953,1.262
27,False,19.94,1.0,1.0,21.874,2.505,-1.164,1.164
28,True,54.01,1.0,0.0,17.801,0.995,0.612,0.993
29,True,37.2,1.0,0.0,20.915,4.263,-0.135,1.011
30,True,0.8500000000000001,1.0,1.0,25.915,3.753,-1.364,1.248
31,True,95.03,2.0,1.0,21.57,-5.314,0.625,1.203
32,True,29.049999999999997,0.0,0.0,15.69,-4.867,-1.214,0.725
33,True,24.42,0.0,1.0,17.438,-4.819,1.284,1.269
34,True,101.97,2.0,1.0,23.817,-6.267,1.352,1.271
35,True,111.19,1.0,1.0,20.186,-1.72,1.906,0.354
36,True,130.95000000000002,2.0,1.0,28.093,-5.207,1.907,0.648
37,True,27.94,1.0,1.0,18.154,5.058,0.957,1.358
38,False,20.4,1.0,1.0,21.774,5.965,-0.869,1.233
39,True,7.47,2.0,1.0,17.67,-5.707,-0.815,1.235
40,True,38.13,1.0,0.0,20.694,2.163,-0.728,0.586
41,True,135.05,2.0,1.0,28.057,-6.485,-1.743,0.877
42,True,73.27,0.0,0.0,12.525,-3.521,0.266,0.969
43,True,12.47,2.0,0.0,25.324,-7.48,0.093,1.274
44,True,9.07,1.0,1.0,8.726,1.894,0.304,1.31
45,True,3.7199999999999998,1.0,0.0,14.237,0.735,-0.726,0.818
46,True,75.22,0.0,1.0,11.806,0.101,-1.473,0.93
47,True,118.59,0.0,1.0,14.769,-7.224,-0.842,1.126
48,True,21.009999999999998,0.0,1.0,16.749,-4.212,0.346,1.385
49,True,14.54,0.0,1.0,17.062,-3.998,1.316,1.408
50,True,2.63,0.0,0.0,16.68,-5.7,0.711,0.959
51,True,8.35,1.0,1.0,16.199,-0.875,0.941,1.36
52,False,20.58,2.0,0.0,32.631,-6.96,-1.005,0.552
53,True,48.879999999999995,2.0,0.0,23.744,-3.031,0.368,0.538
54,True,123.47,2.0,1.0,22.953,-6.906,-1.108,1.346
55,True,104.62,2.0,0.0,28.545,-6.59,-0.211,1.177
56,True,23.07,0.0,0.0,4.492,-6.674,0.798,0.9
57,True,83.55000000000001,0.0,0.0,14.388,-4.195,1.255,0.643
58,True,10.8,0.0,0.0,16.172,-4.435,1.524,0.57
59,True,42.44,1.0,1.0,20.327,4.764,1.527,0.878
60,True,59.89,2.0,0.0,21.722,-6.579,0.901,0.073
61,True,57.66,1.0,1.0,17.656,0.331,1.824,0.759
62,True,8.45,1.0,0.0,27.522,2.184,-0.305,0.652
63,True,111.03999999999999,0.0,1.0,13.841,-4.525,-1.923,0.891
64,True,132.51,1.0,0.0,14.512,1.033,0.641,0.916
65,True,16.88,0.0,0.0,6.601,-3.097,0.472,0.534
66,False,45.16,0.0,1.0,10.269,-2.843,-1.458,0.898
67,True,47.25,1.0,0.0,25.032,1.763,0.28,0.603
68,False,51.589999999999996,1.0,0.0,23.222,2.638,0.297,0.783
69,True,62.96,1.0,0.0,20.815,-1.703,0.608,0.524
70,False,5.17,0.0,1.0,9.339,-4.624,1.586,0.728
71,True,100.67999999999999,2.0,0.0,23.781,-5.475,-0.257,1.252
72,False,23.279999999999998,1.0,1.0,23.361,-1.288,1.225,0.903
73,True,104.07,0.0,1.0,9.29,-2.747,-1.599,1.295
74,True,36.87,1.0,1.0,17.085,3.712,0.857,1.413
75,True,110.07,0.0,1.0,17.58,-3.888,-1.402,1.213
76,True,52.29,2.0,0.0,29.026,-7.342,-1.35,0.68
77,True,72.1,0.0,1.0,14.786,-4.891,-1.505,1.18
78,True,15.22,1.0,0.0,22.711,1.636,1.229,0.526
79,True,8.27,0.0,1.0,11.447,-3.45,-0.371,1.313
80,True,31.54,1.0,0.0,17.054,0.735,0.79,0.431
81,True,45.19,1.0,1.0,17.319,1.902,0.888,1.211
82,True,21.709999999999997,1.0,1.0,16.531,1.986,1.902,1.193
83,True,213.87,0.0,1.0,16.923,-9.718,-1.953,0.748
84,True,70.06,2.0,1.0,22.9,-7.035,0.92,1.146
85,True,33.269999999999996,2.0,0.0,25.242,-4.516,0.084,1.335
86,True,63.46,1.0,1.0,19.235,-0.132,-1.2,1.388
87,True,9.18,0.0,1.0,15.05,-4.274,1.175,1.051
88,True,142.87,0.0,1.0,19.321,-1.571,-0.619,1.309
89,False,16.82,2.0,1.0,23.019,-2.959,0.818,1.368
90,True,35.98,2.0,0.0,17.461,-5.955,-1.341,0.697
91,True,31.47,1.0,0.0,21.114,3.105,0.309,1.024
92,True,30.65,0.0,1.0,7.54,-7.466,1.737,0.675
93,True,29.26,1.0,0.0,19.805,0.895,0.143,0.6
94,True,40.05,2.0,0.0,19.76,-4.115,0.92,0.867
95,True,47.33,1.0,0.0,19.472,1.413,-0.407,1.077
96,True,79.35,1.0,1.0,17.248,0.802,-1.255,1.333
97,True,14.6,0.0,0.0,12.552,-7.283,0.958,0.195
98,False,16.18,2.0,1.0,20.67,-4.078,-1.09,0.991
99,True,86.58,2.0,1.0,25.53,-6.23,-1.768,0.512
100,True,39.449999999999996,1.0,0.0,21.842,1.178,-0.753,0.886
101,True,62.04,0.0,0.0,26.891,-3.574,-0.489,1.132
102,True,54.53,1.0,1.0,22.09,3.752,-1.901,1.316
103,False,22.3,1.0,0.0,19.483,-1.376,0.718,0.43
104,True,86.4,2.0,0.0,16.859,-1.032,0.146,1.26
105,True,63.71000000000001,1.0,1.0,21.947,0.487,1.961,1.064
106,True,25.48,1.0,0.0,21.712,5.397,0.652,0.973
107,True,133.82,2.0,1.0,22.336,-5.545,-1.917,1.017
108,True,88.3,2.0,0.0,20.016,-4.591,-0.72,0.683
109,False,71.88,0.0,0.0,16.585,-2.768,0.353,1.151
110,True,117.26,2.0,1.0,22.805,-3.959,0.516,1.221
111,False,52.66,2.0,1.0,32.138,-6.89,-0.906,1.092
112,True,123.28,2.0,1.0,27.835,-1.981,-1.257,1.346
113,True,35.53,0.0,0.0,15.688,-3.352,0.75,1.067
114,False,92.12,2.0,1.0,27.569,-4.42,1.789,0.961
115,True,116.16,0.0,1.0,8.368,-3.2,-0.984,1.071
116,False,64.18,1.0,0.0,19.929,2.463,0.073,1.377
117,True,39.81,0.0,0.0,13.759,-2.987,-1.17,0.549
118,False,47.699999999999996,1.0,0.0,14.851,4.284,-0.503,0.382
119,True,17.59,1.0,0.0,21.614,-0.142,-0.889,0.589
120,True,138.39000000000001,2.0,1.0,26.653,1.439,1.455,1.237
121,True,62.07,1.0,0.0,17.042,-0.887,0.07,1.213
122,False,4.83,0.0,0.0,15.853,-0.368,0.867,0.645
123,True,52.31,2.0,0.0,28.76,-2.422,0.262,1.126
124,True,125.89,0.0,0.0,19.19,-7.519,-1.421,0.219
125,True,83.34,0.0,1.0,11.132,-7.217,-0.578,1.327
126,True,158.76,2.0,1.0,21.728,-0.038,1.061,0.997
127,True,125.89,0.0,1.0,8.572,-3.642,1.615,1.291
128,True,47.199999999999996,1.0,0.0,13.337,-0.103,0.209,0.581
129,True,6.550000000000001,0.0,1.0,14.606,-0.923,1.848,0.912
130,True,110.05000000000001,1.0,1.0,20.657,-2.767,-1.037,1.264
131,True,80.03999999999999,1.0,1.0,20.663,-0.448,-1.934,1.311
132,True,15.8,0.0,0.0,11.502,-6.842,0.68,1.068
133,True,37.05,1.0,0.0,15.203,-0.346,-0.873,0.588
134,True,98.10000000000001,0.0,0.0,12.029,-5.196,-1.744,0.24
135,True,9.879999999999999,1.0,1.0,17.983,1.495,1.91,1.227
136,True,90.54,0.0,1.0,15.587,-3.478,-0.647,1.359
137,True,11.579999999999998,1.0,1.0,19.388,0.964,-1.073,1.341
138,True,54.73,1.0,1.0,20.705,1.57,1.766,1.094
139,True,62.61,0.0,1.0,12.042,-1.537,0.522,1.224
140,False,13.64,1.0,1.0,21.692,3.35,-0.828,1.181
141,True,39.48,2.0,1.0,26.77,-1.373,0.472,1.395
142,True,82.96,0.0,1.0,13.24,-2.03,-0.611,1.186
143,False,14.44,1.0,1.0,19.953,2.725,1.927,0.294
144,False,18.39,2.0,0.0,22.11,-4.597,-0.01,0.747
145,True,7.18,0.0,0.0,8.68,-3.318,-0.526,1.205
146,True,58.010000000000005,2.0,1.0,28.777,-1.386,1.288,1.114
147,False,14.790000000000001,2.0,0.0,18.362,-3.714,0.045,1.05
148,True,95.35,0.0,1.0,9.412,-0.634,-1.609,1.204
149,False,9.79,1.0,1.0,14.624,1.597,1.892,1.358
